N1,N2,Value
December Strongly Agree,January Strongly Agree,60
December Strongly Agree,January Agree,30
December Strongly Agree,January Neither,14
December Strongly Agree,January Disagree,4
December Strongly Agree,January Strongly Disagree,10
December Agree,January Strongly Agree,22
December Agree,January Agree,46
December Agree,January Neither,27
December Agree,January Disagree,30
December Agree,January Strongly Disagree,8
December Neither,January Strongly Agree,2
December Neither,January Agree,15
December Neither,January Neither,63
December Neither,January Disagree,56
December Neither,January Strongly Disagree,10
December Disagree,January Strongly Agree,7
December Disagree,January Agree,11
December Disagree,January Neither,36
December Disagree,January Disagree,157
December Disagree,January Strongly Disagree,45
December Strongly Disagree,January Strongly Agree,4
December Strongly Disagree,January Agree,3
December Strongly Disagree,January Neither,9
December Strongly Disagree,January Disagree,66
December Strongly Disagree,January Strongly Disagree,331
